"Produkt_Code,""SDO_ID"",""Zeitstempel"",""Wert"",""Qualitaet_Niveau"",""Qualitaet_Byte"""
"TT_TU_MN009,""1666"",""201401041100"",""7.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041200"",""7.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041300"",""7.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041400"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041500"",""6.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041600"",""6.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041700"",""6.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041800"",""5.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401041900"",""5.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401042000"",""5.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401042100"",""6.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401042200"",""6.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401042300"",""5.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050000"",""5.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050100"",""5.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050200"",""5.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050300"",""5.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050400"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050500"",""4.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050600"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050700"",""4.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050800"",""4.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401050900"",""5.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051000"",""5.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051100"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051200"",""6.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051300"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051400"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051500"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051600"",""5.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051700"",""4.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051800"",""4.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401051900"",""5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401052000"",""5.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401052100"",""4.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401052200"",""4.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401052300"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060000"",""3.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060100"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060200"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060300"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060400"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060500"",""4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060600"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060700"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060800"",""4.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401060900"",""5.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061000"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061100"",""8.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061200"",""9.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061300"",""10.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061400"",""10.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061500"",""10.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061600"",""10.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061700"",""9.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061800"",""9.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401061900"",""9.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401062000"",""10.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401062100"",""10.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401062200"",""9.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401062300"",""8.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070000"",""8.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070100"",""8.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070200"",""8.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070300"",""8.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070400"",""8.7"",""7"",""1"""
